[2025-10-29 03:19:09] CDMA04847 | YnG Lif3 | Monlcer | KR: genie | Found 1/5 platforms
[2025-10-29 03:25:27] CDMA04840 | 01, 와이챈스(Whychns) | TEXHO135. | KR: bugs, flo, melon, vibe | Found 4/5 platforms
[2025-10-29 03:34:28] CDMA04830 | 레이싱4 | 오구오구 | KR: flo, genie | Found 2/5 platforms
[2025-10-29 03:37:08] CDMA04826 | IKASÉ(이카세) | NANNOM REMIXES | KR: bugs, flo, melon, vibe | Found 4/5 platforms
[2025-10-29 03:58:50] CDMA04801 | Foti8 | Foti8 2nd EP ‘BLUE GEM’ | KR: bugs, flo, melon | Found 3/5 platforms
[2025-10-29 04:09:49] CDMA04788 | Chang | 아가피무 | KR: bugs, flo, genie, melon | Found 4/5 platforms
[2025-10-29 04:15:33] CDMA04782 | 행복한피자빵 | マカロンに挟むクリームになりたい | KR: bugs, flo, genie, vibe | Found 4/5 platforms
[2025-10-29 04:34:35] CDMA04761 | Pearlbaby, 0theo | brand new love | KR: bugs, flo, genie, melon | Found 4/5 platforms
[2025-10-29 04:46:33] CDMA04748 | Tina Groove | Bubble Pop | KR: genie | Found 1/5 platforms
[2025-10-29 05:05:35] CDMA04729 | 행복한피자빵 | 미안한데 | KR: bugs, flo, genie, vibe | Found 4/5 platforms
[2025-10-29 05:22:11] CDMA04712 | Project:TNT, AsianLean, BANDO SURA | BlakJeans | KR: bugs, flo, genie, melon | Found 4/5 platforms
[2025-10-29 05:53:35] CDMA04678 | 로몬스 | Lomon's dream | KR: bugs, vibe | Found 2/5 platforms
[2025-10-29 05:59:55] CDMA04670 | NY KID, NY DOGG | 너와 함께라면 | KR: flo, genie, melon | Found 3/5 platforms
[2025-10-29 06:07:17] CDMA04662 | 행복한피자빵 | 액자 속에 내가 든 | KR: bugs, flo, genie, vibe | Found 4/5 platforms
[2025-10-29 06:27:57] CDMA04636 | Lucas | 가출 꿈 | KR: genie | Found 1/5 platforms
[2025-10-29 06:40:37] CDMA04623 | 비트건(BEAT GUN) | Wäin oder Wodka | KR: flo, melon, vibe | Found 3/5 platforms
[2025-10-29 06:48:36] CDMA04615 | 룡운 | Ghosts with Sneakers | KR: bugs, flo, genie, melon | Found 4/5 platforms
[2025-10-29 07:23:54] CDMA04579 | 행복한피자빵 | 중2야 | KR: bugs, flo, genie, vibe | Found 4/5 platforms
[2025-10-29 07:43:52] CDMA04557 | 정승민(D-track),Beenssalo,Dong-gil,주안(ZUAN) | Half way | KR: bugs, flo, genie, melon | Found 4/5 platforms
[2025-10-29 07:49:56] CDMA04550 | (E)AnD-Y (엔드와이), 에프비 (Fbe), 오원탁 | Staff Olny (In Summer) | KR: genie | Found 1/5 platforms
[2025-10-29 07:53:11] CDMA04547 | 헤아림 (HÉARiM) | 헤는 밤 | KR: bugs, melon, vibe | Found 3/5 platforms
[2025-10-29 08:01:39] CDMA04538 | 류민서 | Lost | KR: bugs | Found 1/5 platforms
[2025-10-29 08:14:54] CDMA04524 | KUNN, Coincide | overthink | KR: bugs, genie, vibe | Found 3/5 platforms
[2025-10-29 08:21:01] CDMA04518 | Coincide,KUNN | Runaway | KR: genie, vibe | Found 2/5 platforms
[2025-10-29 08:24:21] CDMA04515 | Coincide,Chansoo | Ride With Me | KR: genie | Found 1/5 platforms
[2025-10-29 08:26:18] CDMA04513 | GAMBLR. | ONLY ONE | KR: genie, vibe | Found 2/5 platforms
[2025-10-29 09:02:32] CDMA05108 | JINAN JINAN | مين إنت بالحقيقة؟ | KR: flo | Found 1/5 platforms
[2025-10-29 09:04:56] CDMA05101 | UNCLE GYM, YS Block | 카카시 | KR: bugs, flo, genie, melon | Found 4/5 platforms
[2025-10-29 09:06:14] CDMA05099 | 23, 유비, 최도준 | YELLOW TALKIN | KR: bugs, flo | Found 2/5 platforms
[2025-10-29 09:07:22] CDMA05094 | IKASÉ(이카세), PINO | HITMAKER | KR: bugs, flo, melon, vibe | Found 4/5 platforms
[2025-10-29 09:09:40] CDMA05085 | 제니민 | Midnight Wings | KR: bugs, flo, genie, melon | Found 4/5 platforms
[2025-10-29 09:10:36] CDMA05084 | 이세영 | 숨 | KR: bugs, flo, genie, melon | Found 4/5 platforms
[2025-10-29 09:13:21] CDMA05074 | 신종욱 | [비형전: 도깨비의 주인] OST Part 4 | KR: flo, genie, melon | Found 3/5 platforms
[2025-10-29 09:14:17] CDMA05072 | Can-O, beedrillboi | welcome | KR: flo, genie, melon | Found 3/5 platforms
[2025-10-29 09:15:39] CDMA05070 | 김재흥 | 김재흥디지털싱글 | KR: flo | Found 1/5 platforms
[2025-10-29 09:16:56] CDMA05064 | Saint Kream,Dgmz | AMG | KR: flo, genie, melon | Found 3/5 platforms
[2025-10-29 09:18:01] CDMA05036 | Peera Tear (피라티어) | 도시, 밤 그리고… | KR: melon, vibe | Found 2/5 platforms
[2025-10-29 09:19:13] CDMA04964 | 행복한피자빵 | 왜 자꾸 | KR: bugs, flo, genie, vibe | Found 4/5 platforms
[2025-10-29 09:20:20] CDMA04963 | hrhr | Kandycrystal<3 | KR: bugs, melon, vibe | Found 3/5 platforms
[2025-10-29 09:22:23] CDMA04947 | HPMD | Bloomphonic in the forest | KR: flo, genie, melon, vibe | Found 4/5 platforms
[2025-10-29 09:23:15] CDMA04945 | Studio 17 | 첫 번째 이야기 | KR: flo, genie, melon, vibe | Found 4/5 platforms
[2025-10-29 09:24:10] CDMA04943 | 장사은 | FourSilver | KR: bugs, flo, genie, melon | Found 4/5 platforms
[2025-10-29 09:25:17] CDMA04933 | 표효일 | 무슨 기분일까… | KR: bugs, flo, melon, vibe | Found 4/5 platforms
[2025-10-29 09:26:13] CDMA04918 | 위대한쇼츠비 | Lucky Bag | KR: flo, genie, melon, vibe | Found 4/5 platforms
[2025-10-29 09:27:13] CDMA04914 | ZANDY BABIE, 압둘레만 | 19 | KR: bugs, flo, melon | Found 3/5 platforms
[2025-10-29 09:28:35] CDMA04900 | 김요섭 | 김요섭 9집 정규앨범”벗” | KR: bugs, flo, melon, vibe | Found 4/5 platforms
[2025-10-29 09:30:04] CDMA04896 | Kasai Zenn | We Careless (Feat. DOVII & Kobane) | KR: bugs, flo, melon, vibe | Found 4/5 platforms
[2025-10-29 09:31:08] CDMA04891 | 주익백,Coincide | I:LY | KR: flo, genie, melon | Found 3/5 platforms
[2025-10-29 09:32:03] CDMA04866 | IKASÉ(이카세), PINO | IKASE PINO TYPE BEAT | KR: bugs, flo, melon, vibe | Found 4/5 platforms
[2025-10-29 09:32:55] CDMA04854 | 행복한피자빵 | サバ焼き飽きた | KR: bugs, flo, genie, vibe | Found 4/5 platforms
[2025-10-29 09:33:46] CDMA04847 | YnG Lif3 | Monlcer | KR: genie | Found 1/5 platforms
[2025-10-29 09:35:35] CDMA04840 | 01, 와이챈스(Whychns) | TEXHO135. | KR: bugs, flo, melon, vibe | Found 4/5 platforms
[2025-10-29 09:36:30] CDMA04830 | 레이싱4 | 오구오구 | KR: flo, genie | Found 2/5 platforms
[2025-10-29 09:37:25] CDMA04826 | IKASÉ(이카세) | NANNOM REMIXES | KR: bugs, flo, melon, vibe | Found 4/5 platforms
[2025-10-29 09:38:18] CDMA04801 | Foti8 | Foti8 2nd EP ‘BLUE GEM’ | KR: bugs, flo, melon | Found 3/5 platforms
[2025-10-29 09:39:10] CDMA04788 | Chang | 아가피무 | KR: bugs, flo, genie, melon | Found 4/5 platforms
[2025-10-29 09:40:02] CDMA04782 | 행복한피자빵 | マカロンに挟むクリームになりたい | KR: bugs, flo, genie, vibe | Found 4/5 platforms
